fold,train_end,test_start,test_end,best_z,train_p,n_spikes_test,ITA_sharpe,ITA_win_rate,ITA_cum_ret,XAR_sharpe,XAR_win_rate,XAR_cum_ret,PPA_sharpe,PPA_win_rate,PPA_cum_ret
1,2019-01-17,2019-01-18,2019-07-19,2.0,0.05,4,1.9253,1.0,0.019274,2.4119,1.0,0.025389,2.6334,1.0,0.031869
2,2019-07-19,2019-07-22,2020-01-17,2.2,0.0134,0,0.0,,0.0,0.0,,0.0,0.0,,0.0
3,2020-01-17,2020-01-21,2020-07-20,2.2,0.0129,0,0.0,,0.0,0.0,,0.0,0.0,,0.0
4,2020-07-20,2020-07-21,2021-01-19,2.2,0.0172,6,0.0636,0.6667,0.000888,0.0166,0.6667,-5.7e-05,0.2508,0.6667,0.004212
5,2021-01-19,2021-01-20,2021-07-20,2.2,0.0112,0,0.0,,0.0,0.0,,0.0,0.0,,0.0
6,2021-07-20,2021-07-21,2022-01-18,2.2,0.0115,5,-0.5769,0.2,-0.00455,-2.1784,0.2,-0.020325,-0.3136,0.6,-0.001929
7,2022-01-18,2022-01-19,2022-07-20,2.0,0.0281,0,0.0,,0.0,0.0,,0.0,0.0,,0.0
8,2022-07-20,2022-07-21,2023-01-19,2.0,0.0354,0,0.0,,0.0,0.0,,0.0,0.0,,0.0
9,2023-01-19,2023-01-20,2023-07-21,2.0,0.0372,1,1.4142,1.0,0.004142,1.4142,1.0,0.006004,1.4142,1.0,0.001997
10,2023-07-21,2023-07-24,2024-01-22,2.0,0.0323,0,0.0,,0.0,0.0,,0.0,0.0,,0.0
11,2024-01-22,2024-01-23,2024-07-23,2.0,0.0306,0,0.0,,0.0,0.0,,0.0,0.0,,0.0
12,2024-07-23,2024-07-24,2025-01-23,2.0,0.0297,43,0.5416,0.5349,0.020568,1.1742,0.5349,0.055301,0.4837,0.5581,0.016328
13,2025-01-23,2025-01-24,2025-07-25,2.0,0.0106,85,2.0431,0.6,0.134466,1.4672,0.5882,0.092486,1.7491,0.6353,0.102779
14,2025-07-25,2025-07-28,2026-01-26,2.0,0.0016,5,1.0601,0.4,0.007044,0.16,0.6,0.001134,0.6329,0.6,0.004357
